onset	duration	trial_type	amplitude
7.0	9.0	LThumb	1
16.0	9.0	LIndex	1
34.0	9.0	LMid	1
43.0	9.0	Feet	1
52.0	9.0	LRing	1
61.0	9.0	Lips	1
70.0	9.0	LLit	1
79.0	9.0	RLit	1
88.0	9.0	RThumb	1
97.0	9.0	RRing	1
106.0	9.0	RIndex	1
115.0	9.0	RMid	1
124.0	9.0	LIndex	1
133.0	9.0	LMid	1
142.0	9.0	LThumb	1
151.0	9.0	LRing	1
178.0	9.0	LLit	1
187.0	9.0	Feet	1
196.0	9.0	RThumb	1
205.0	9.0	Lips	1
214.0	9.0	RIndex	1
223.0	9.0	RLit	1
232.0	9.0	RMid	1
241.0	9.0	RRing	1
250.0	9.0	LMid	1
259.0	9.0	LRing	1
268.0	9.0	LIndex	1
277.0	9.0	LLit	1
286.0	9.0	LIndex	1
295.0	9.0	RThumb	1
322.0	9.0	RIndex	1
331.0	9.0	Feet	1
340.0	9.0	RMid	1
349.0	9.0	Lips	1
358.0	9.0	RRing	1
367.0	9.0	RLit	1
376.0	9.0	LRing	1
385.0	9.0	LLit	1
394.0	9.0	LMid	1
403.0	9.0	RThumb	1
412.0	9.0	LIndex	1
421.0	9.0	RIndex	1
430.0	9.0	LThumb	1
439.0	9.0	RMid	1
457.0	9.0	RRing	1
466.0	9.0	Lips	1
475.0	9.0	RLit	1
484.0	9.0	Feet	1
